entity	entity-type	pmid
hallmark of heart failure	Disease	34806902
murine	Species	34806902
ADAMTS5	Gene	34806902
a disintegrin and metalloproteinase with thrombospondin motifs 5	Gene	34806902
ADAMTS5	Gene	34806902
chondroitin sulphate	Chemical	34806902
ADAMTS5	Gene	34806902
mice	Species	34806902
ADAMTS5	Gene	34806902
Adamts5	Gene	34806902
patients	Species	34806902
patients	Species	34806902
Versikine	Chemical	34806902
cardiac ischemia	Disease	34806902
murine	Species	34806902
Ang II	Gene	34806902
Adamts5	Gene	34806902
mice	Species	34806902
Ang II	Gene	34806902
hyaluronic acid	Chemical	34806902
integrin beta 1	Gene	34806902
filamin A	Gene	34806902
connexin 43	Gene	34806902
Adamts5	Gene	34806902
mice	Species	34806902
Ang II	Gene	34806902
Cardiac hypertrophy	Disease	34806902
patients	Species	34806902
beta1-adrenergic receptor	Gene	34806902
patients	Species	34806902
patients	Species	34806902
impaired cardiac function	Disease	34806902
patients	Species	34806902
Cardiac hypertrophy	Disease	34098726
heart failure	Disease	34098726
cardiac hypertrophy	Disease	34098726
HINT1	Gene	34098726
histidine triad nucleotide-binding protein 1	Gene	34098726
cardiac hypertrophy	Disease	34098726
heart failure	Disease	34098726
HINT1	Gene	34098726
human	Species	34098726
hypertrophic heart	Disease	34098726
Hint1	Gene	34098726
mice	Species	34098726
HINT1	Gene	34098726
mice	Species	34098726
adeno-associated virus 9	Species	34098726
AAV9	Species	34098726
Hint1	Gene	34098726
cTnT	Gene	34098726
HINT1	Gene	34098726
AAV9	Species	34098726
Hoxa5	Gene	34098726
homeobox A5	Gene	34098726
HINT1	Gene	34098726
cardiac hypertrophy	Disease	34098726
HOXA5	Gene	34098726
HINT1	Gene	34098726
HOXA5	Gene	34098726
HINT1	Gene	34098726
hypertrophic	Disease	34098726
patients	Species	34098726
hypertrophic	Disease	34098726
mice	Species	34098726
Hint1	Gene	34098726
mice	Species	34098726
cardiac hypertrophy deteriorated	Disease	34098726
HINT1	Gene	34098726
cardiac hypertrophy and dysfunction	Disease	34098726
HOXA5	Gene	34098726
HINT1	Gene	34098726
HINT1	Gene	34098726
HOXA5	Gene	34098726
Hoxa5	Gene	34098726
hypertrophy	Disease	34098726
TGF-beta	Gene	34098726
HINT1	Gene	34098726
MEK	Gene	34098726
ERK	Gene	34098726
YY1	Gene	34098726
HOXA5	Gene	34098726
cardiac hypertrophy	Disease	34098726
HINT1	Gene	34098726
cardiac hypertrophy	Disease	34098726
HOXA5	Gene	34098726
HINT1	Gene	34098726
cardiac hypertrophy	Disease	34098726
heart failure	Disease	34098726
PLN	Gene	33998164
Arg14del	Chemical	33998164
dilated cardiomyopathy	Disease	33998164
Patient	Species	33998164
Ca2+	Chemical	33998164
Ca2+	Chemical	33998164
lipid	Chemical	33998164
PLN	Gene	33998164
Arg14del	Chemical	33998164
heart failure	Disease	33998164
ischemic heart failure	Disease	33998164
PLN	Gene	33998164
Arg14del	Chemical	33998164
Ca2+	Chemical	33998164
SR dysfunction	Disease	33998164
PLN	Gene	33998164
Arg14del	Chemical	33998164
cardiomyopathy	Disease	33998164
Ca2+	Chemical	33998164
Ca2+	Chemical	33998164
heart failure	Disease	31670476
HF	Disease	31670476
HF	Disease	31670476
HF	Disease	31670476
patients	Species	31670476
HF	Disease	31670476
patients	Species	31670476
HF	Disease	31670476
HF	Disease	31670476
inflammation	Disease	31670476
lipid	Chemical	31670476
serine proteinase inhibitor A3	Gene	31670476
Serpina3	Gene	31670476
HF	Disease	31670476
HF	Disease	31670476
HF	Disease	31670476
Serpina3	Gene	31670476
HF	Disease	31670476
Serpina3	Gene	31670476
HF	Disease	31670476
HF	Disease	31670476
HF	Disease	31670476
HF	Disease	31670476
human	Species	29484645
human	Species	29484645
cardiovascular disease	Disease	29484645
myosin light chain 4	Gene	29484645
myosin regulatory light chain 2-atrial isoform	Gene	29484645
myosin light chain 3	Gene	29484645
myosin regulatory light chain 2-ventricular/cardiac muscle isoform	Gene	29484645
tricarboxylic acid	Chemical	29484645
fatty acid	Chemical	29484645
transgelin	Gene	29484645
human	Species	29133944
death	Disease	29133944
human	Species	29133944
atrial fibrillation	Disease	29133944
