,entity,entity-labels,pmid
0,extracellular matrix,CELLULAR_COMPONENT,34806902
1,ECM,CELLULAR_COMPONENT,34806902
2,heart,ORGAN,34806902
3,murine cardiac fibroblasts,ORGANISM,34806902
4,ADAMTS5,GENE_OR_GENE_PRODUCT,34806902
5,disintegrin,GENE_OR_GENE_PRODUCT,34806902
6,thrombospondin motifs 5,GENE_OR_GENE_PRODUCT,34806902
7,ADAMTS5,GENE_OR_GENE_PRODUCT,34806902
8,chondroitin sulphate proteoglycans,GENE_OR_GENE_PRODUCT,34806902
9,CSPGs,GENE_OR_GENE_PRODUCT,34806902
10,versican,GENE_OR_GENE_PRODUCT,34806902
11,ADAMTS5,GENE_OR_GENE_PRODUCT,34806902
12,versican,GENE_OR_GENE_PRODUCT,34806902
13,Versican,GENE_OR_GENE_PRODUCT,34806902
14,mice,ORGANISM,34806902
15,ADAMTS5,GENE_OR_GENE_PRODUCT,34806902
16,Adamts5 Cat,GENE_OR_GENE_PRODUCT,34806902
17,ECM,CELLULAR_COMPONENT,34806902
18,left ventricular,MULTI_TISSUE_STRUCTURE,34806902
19,Versican,GENE_OR_GENE_PRODUCT,34806902
20,versikine,AMINO_ACID,34806902
21,versican,GENE_OR_GENE_PRODUCT,34806902
22,cardiac,ORGAN,34806902
23,murine hearts,ORGANISM,34806902
24,angiotensin II,GENE_OR_GENE_PRODUCT,34806902
25,Ang II,GENE_OR_GENE_PRODUCT,34806902
26,Adamts5,GENE_OR_GENE_PRODUCT,34806902
27,Ang II,GENE_OR_GENE_PRODUCT,34806902
28,versican,GENE_OR_GENE_PRODUCT,34806902
29,hyaluronic acid,GENE_OR_GENE_PRODUCT,34806902
30,integrin beta 1,GENE_OR_GENE_PRODUCT,34806902
31,filamin A,GENE_OR_GENE_PRODUCT,34806902
32,connexin,GENE_OR_GENE_PRODUCT,34806902
33,Adamts5 Cat mice,GENE_OR_GENE_PRODUCT,34806902
34,Ang II,GENE_OR_GENE_PRODUCT,34806902
35,Cardiac hypertrophy,TISSUE,34806902
36,collagen,GENE_OR_GENE_PRODUCT,34806902
37,cardiac explants,TISSUE,34806902
38,ECM,CELLULAR_COMPONENT,34806902
39,versican,GENE_OR_GENE_PRODUCT,34806902
40,cardiac fibroblasts,CELL,34806902
41,beta1-adrenergic receptor,GENE_OR_GENE_PRODUCT,34806902
42,versican,GENE_OR_GENE_PRODUCT,34806902
43,cardiac ECM,TISSUE,34806902
44,patients,ORGANISM,34806902
45,ADAMTS,GENE_OR_GENE_PRODUCT,34806902
46,versican,GENE_OR_GENE_PRODUCT,34806902
47,heart,ORGAN,34806902
48,versican,GENE_OR_GENE_PRODUCT,34806902
49,cardiac,ORGAN,34806902
50,cardiac ECM,TISSUE,34806902
51,cardiac CSPG,TISSUE,34806902
52,Cardiac,MULTI_TISSUE_STRUCTURE,34098726
53,heart,ORGAN,34098726
54,cardiac,ORGAN,34098726
55,HINT1,GENE_OR_GENE_PRODUCT,34098726
56,histidine,AMINO_ACID,34098726
57,nucleotide-binding protein 1,GENE_OR_GENE_PRODUCT,34098726
58,cardiac hypertrophy,TISSUE,34098726
59,heart,ORGAN,34098726
60,HINT1,GENE_OR_GENE_PRODUCT,34098726
61,human,ORGANISM,34098726
62,heart samples,CANCER,34098726
63,Hint1,GENE_OR_GENE_PRODUCT,34098726
64,mice,ORGANISM,34098726
65,Cardiac-specific,GENE_OR_GENE_PRODUCT,34098726
